panel,metric,value,value_percent,n,true_fog,true_mist,true_clear,station,low_true,low_pred,true_class,predicted_class,count
station_event_sites,low_vis_recall,0.199999960000008,19.9999960000008,1285.0,,,,ZPJM,5.0,79.0,,,
station_event_sites,accuracy,0.935408560311284,93.5408560311284,1285.0,,,,ZPJM,5.0,79.0,,,
station_event_sites,low_vis_precision,0.0434782589792061,4.347825897920609,1285.0,,,,ZPLC,1.0,23.0,,,
station_event_sites,low_vis_recall,0.999999000001,99.9999000001,1285.0,,,,ZPLC,1.0,23.0,,,
station_event_sites,accuracy,0.9828793774319066,98.28793774319065,1285.0,,,,ZPLC,1.0,23.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZPPP,7.0,37.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZPPP,7.0,37.0,,,
station_event_sites,accuracy,0.9657587548638132,96.57587548638132,1285.0,,,,ZPPP,7.0,37.0,,,
station_event_sites,low_vis_precision,0.4999998750000312,49.999987500003115,1285.0,,,,ZSCG,4.0,4.0,,,
station_event_sites,low_vis_recall,0.4999998750000312,49.999987500003115,1285.0,,,,ZSCG,4.0,4.0,,,
station_event_sites,accuracy,0.9961089494163424,99.61089494163424,1285.0,,,,ZSCG,4.0,4.0,,,
station_event_sites,low_vis_precision,0.0,0.0,1285.0,,,,ZSGS,2.0,10.0,,,
station_event_sites,low_vis_recall,0.0,0.0,1285.0,,,,ZSGS,2.0,10.0,,,
station_event_sites,accuracy,0.9906614785992218,99.06614785992218,1285.0,,,,ZSGS,2.0,10.0,,,
station_event_sites,low_vis_precision,0.4722222091049387,47.22222091049387,1285.0,,,,ZSHZ,22.0,36.0,,,
station_event_sites,low_vis_recall,0.7727272376033073,77.27272376033073,1285.0,,,,ZSHZ,22.0,36.0,,,
station_event_sites,accuracy,0.9813229571984436,98.13229571984436,1285.0,,,,ZSHZ,22.0,36.0,,,
station_event_sites,low_vis_precision,0.0769230710059176,7.692307100591759,1058.0,,,,ZSJH,1.0,13.0,,,
